CustomerID,Recency,Frequency,Monetary,RFM_Score
12347.0,2,7,4310.0,545
12348.0,75,4,1797.24,234
12349.0,19,1,1757.55,414
12350.0,310,1,334.4,112
12352.0,36,11,1545.41,354
12353.0,204,1,89.0,111
12354.0,232,1,1079.4,114
12355.0,214,1,459.4,112
12356.0,23,3,2811.43,435
12357.0,33,1,6207.67,315
12358.0,2,2,1168.06,524
12359.0,8,6,6245.53,545
12360.0,52,3,2662.06,335
12361.0,287,1,189.9,111
12362.0,3,13,5154.58,555
12363.0,110,2,552.0,223
12364.0,8,4,1313.1,534
12365.0,291,3,320.69,132
12367.0,4,1,168.9,511
12370.0,51,4,3545.69,335
12371.0,45,2,1887.96,324
12372.0,72,3,1298.04,234
12373.0,311,1,364.6,112
12374.0,25,1,742.9300000000001,413
12375.0,3,3,455.42,532
12377.0,315,2,1628.12,124
12378.0,130,1,4008.62,215
12379.0,82,3,850.29,233
12380.0,22,5,2720.56,445
12381.0,5,6,1803.96,544
12383.0,185,6,1839.31,144
12384.0,29,3,566.16,433
12386.0,338,2,401.9,122
12388.0,16,6,2780.66,445
12390.0,80,1,549.84,213
12391.0,22,1,460.89,412
12393.0,72,4,1582.6000000000001,234
12394.0,64,2,1272.48,324
12395.0,16,15,2998.28,455
12397.0,36,2,2409.9,325
12398.0,46,1,1635.6599999999999,314
12399.0,119,4,1108.65,234
12401.0,303,1,84.3,111
12402.0,323,1,225.6,111
12403.0,50,2,409.7,322
12405.0,149,1,1710.39,214
12406.0,22,3,3280.75,435
12407.0,50,5,1708.1200000000001,344
12408.0,33,9,2842.57,355
12409.0,79,7,11056.93,245
12410.0,301,3,681.0799999999999,133
12412.0,75,3,1226.88,234
12413.0,67,5,694.15,343
12414.0,217,3,562.41,133
12415.0,24,26,123725.45,455
12417.0,3,12,3578.8,555
12418.0,113,1,668.58,213
12420.0,64,1,600.39,313
12421.0,16,5,806.27,443
12422.0,96,3,803.5600000000001,233
12423.0,1,9,1849.11,554
12424.0,163,2,1760.96,224
12425.0,78,1,777.2,213
12426.0,195,1,582.73,113
12427.0,12,5,708.37,443
12428.0,26,12,7877.2,455
12429.0,9,4,3750.4,535
12430.0,43,1,256.4,312
12431.0,36,18,6416.39,355
12432.0,43,5,5059.32,345
12433.0,1,7,13375.87,545
12434.0,85,4,765.19,233
12435.0,80,2,7829.89,225
12436.0,100,1,509.01,213
12437.0,2,19,4896.66,555
12438.0,14,2,2906.85,425
12441.0,367,1,173.55,111
12442.0,3,1,172.06,511
12444.0,21,5,5005.46,445
12445.0,22,1,133.4,411
12446.0,58,1,1002.3100000000001,314
12447.0,243,1,476.49,112
12448.0,44,1,449.45,312
12449.0,22,4,4067.29,435
12450.0,156,2,197.88,221
12451.0,11,6,8933.52,545
12452.0,17,3,428.57,432
12453.0,134,1,707.09,213
12454.0,53,2,5.684341886080802e-14,321
12455.0,73,6,2466.86,245
12456.0,44,4,3153.89,335
12457.0,58,12,1917.78,354
12458.0,71,2,947.4,224
12461.0,94,2,826.88,223
12462.0,2,4,1124.01,534
12463.0,46,7,1303.63,344
12464.0,10,8,1212.05,554
12465.0,8,3,733.89,533
12468.0,143,3,724.0400000000001,233
12471.0,2,49,18740.92,555
12472.0,31,13,6229.48,455
12473.0,29,9,2848.23,455
12474.0,17,30,7116.47,455
12475.0,54,1,723.38,313
12476.0,1,20,6546.58,555
12477.0,23,9,13117.01,455
12478.0,4,1,680.99,513
12479.0,4,3,477.3,532
12480.0,28,4,3281.63,435
12481.0,23,11,5590.86,455
12483.0,17,13,2327.13,455
12484.0,33,8,4495.27,355
12488.0,10,3,1298.66,534
12489.0,336,1,334.93,112
12490.0,5,10,5417.93,555
12491.0,39,1,460.40000000000003,312
12492.0,63,2,263.21000000000004,322
12493.0,166,3,416.79,232
12494.0,10,13,1139.3500000000001,554
12497.0,82,1,1043.1,214
12498.0,21,3,403.70000000000005,432
12500.0,23,13,4206.27,455
12501.0,315,2,2089.68,125
12502.0,96,5,3723.87,245
12504.0,18,4,114.0,431
12506.0,233,1,73.5,111
12507.0,134,4,1258.06,234
12508.0,26,2,398.27,422
12509.0,284,1,176.5,111
12510.0,143,2,982.5699999999999,224
12512.0,66,2,138.03,321
12513.0,85,2,586.79,223
12514.0,267,1,1017.68,114
12515.0,353,1,383.7,112
12516.0,78,2,1312.06,224
12517.0,28,6,2464.89,445
12518.0,1,5,2056.89,545
12519.0,64,1,340.84,312
12520.0,79,6,2582.51,245
12521.0,143,1,599.68,213
12522.0,39,2,192.72,321
12523.0,2,13,1745.57,554
12524.0,9,8,4485.72,555
12526.0,1,3,1316.66,534
12527.0,82,3,348.71000000000004,232
12528.0,9,8,1922.28,554
12530.0,60,5,1623.63,344
12531.0,15,1,125.22,411
12532.0,30,1,349.83000000000004,412
12534.0,131,1,1089.18,214
12535.0,92,2,716.35,223
12536.0,8,5,4106.82,545
12538.0,29,1,363.95,412
12539.0,22,5,3852.5,445
12540.0,20,19,13309.039999999999,455
12541.0,30,3,981.18,434
12544.0,30,2,355.7,422
12545.0,75,2,1000.39,224
12546.0,47,3,1141.5,334
12547.0,198,2,207.79999999999998,121
12548.0,166,1,95.19999999999999,211
12550.0,79,1,964.83,214
12551.0,358,1,168.0,111
12552.0,39,2,437.82,322
12553.0,8,14,3652.25,555
12556.0,50,2,603.71,323
12557.0,16,5,11990.960000000001,445
12558.0,2,2,1.0658141036401503e-14,521
12559.0,311,3,536.21,133
12560.0,5,4,2101.39,535
12561.0,303,1,238.85,111
12562.0,8,7,3781.7400000000002,545
12564.0,261,1,456.9,112
12565.0,282,2,131.17,121
12566.0,73,2,346.7,222
12567.0,23,11,9114.94,455
12569.0,2,35,4064.9900000000002,555
12571.0,40,2,519.61,323
12572.0,9,3,1004.72,534
12573.0,227,1,160.54000000000002,111
12574.0,316,1,218.45,111
12576.0,36,6,1306.98,344
12577.0,35,4,595.4,333
12578.0,21,4,2753.36,435
12579.0,73,3,410.72,232
12580.0,247,1,415.7,112
12581.0,40,1,197.71,311
12582.0,239,2,511.36,123
12583.0,3,18,7187.34,555
12584.0,4,18,1893.95,554
12585.0,234,4,1982.81,134
12586.0,17,2,179.94000000000003,421
12587.0,8,1,144.0,511
12588.0,39,1,214.89999999999998,311
12589.0,29,2,646.68,423
12590.0,190,3,9861.38,135
12591.0,317,1,452.84999999999997,112
12592.0,92,2,437.6,222
12593.0,109,3,418.09999999999997,232
12594.0,38,11,3320.2200000000003,355
12596.0,51,2,618.27,323
12597.0,19,5,3683.13,445
12598.0,10,9,3002.68,555
12599.0,29,7,1032.58,444
12600.0,29,11,2581.04,455
12601.0,190,6,569.5600000000001,143
12602.0,59,1,153.12,311
12603.0,22,1,739.1999999999999,413
12604.0,79,2,254.18,222
12607.0,58,2,3.552713678800501e-15,321
12609.0,78,3,1126.85,234
12610.0,23,7,2057.99,445
12611.0,52,1,1193.32,314
12612.0,58,2,643.59,323
12613.0,31,6,3218.98,445
12614.0,278,1,315.6,112
12615.0,2,4,2291.19,535
12616.0,85,5,657.25,243
12617.0,29,1,355.53,412
12618.0,22,1,177.31,411
12619.0,16,13,3214.81,455
12620.0,15,3,1339.41,434
12621.0,2,23,13612.07,555
12622.0,232,1,180.1,111
12623.0,276,1,305.1,112
12624.0,106,2,641.13,223
12625.0,212,3,2614.32,135
12626.0,23,13,6388.35,455
12627.0,11,7,4478.53,545
12628.0,4,4,769.61,533
12630.0,10,2,1270.88,524
12631.0,57,1,640.5,313
12633.0,59,5,2140.63,345
12635.0,90,2,1689.18,224
12637.0,67,10,5953.25,355
12638.0,33,1,671.69,313
12639.0,239,1,486.1,113
12640.0,24,3,1174.58,434
12641.0,115,1,185.9,211
12642.0,25,3,1013.26,434
12643.0,128,6,3344.64,245
12644.0,130,1,477.91,212
12645.0,34,5,1755.38,344
12646.0,5,2,1346.97,524
12647.0,22,13,3669.92,455
12648.0,155,1,318.05,212
12649.0,107,4,603.71,233
12650.0,3,1,314.44,512
12651.0,335,1,114.0,111
12652.0,322,2,914.53,123
12653.0,149,2,2209.85,225
12654.0,11,5,601.98,543
12656.0,17,8,3982.72,455
12657.0,11,5,1152.06,544
12658.0,19,1,686.05,413
12659.0,30,1,91.68,411
12660.0,11,1,245.1,511
12662.0,1,12,3817.08,555
12664.0,8,10,4863.88,555
12665.0,325,2,61.75,121
12667.0,58,1,620.13,313
12668.0,7,6,3743.18,545
12669.0,151,4,1607.73,234
12670.0,10,6,2986.15,545
12672.0,330,1,225.89999999999998,111
12673.0,5,2,610.52,523
12674.0,12,7,1919.31,444
12676.0,25,6,1331.39,444
12678.0,42,13,17588.26,355
12679.0,52,9,1058.67,354
12680.0,1,4,862.81,543
12681.0,15,27,13677.59,455
12682.0,4,31,12288.22,555
12683.0,4,20,8221.09,555
12684.0,8,7,2283.63,545
12685.0,28,6,2863.08,445
12686.0,372,1,89.14,111
12688.0,114,1,4873.8099999999995,215
12689.0,26,2,1247.61,424
12690.0,206,1,389.01,112
12691.0,28,6,1035.8,444
12693.0,121,6,830.96,243
12694.0,70,2,869.67,323
