CustomerID,recency,frequency,monetary_value,r,f,m,rfm_score,segment
15039,9,1483,19637.759999999904,5,5,5,555,Champions
17735,1,690,13109.059999999994,5,5,5,555,Champions
16549,9,925,4033.5799999999986,5,5,5,555,Champions
15218,10,166,5756.809999999982,5,5,5,555,Champions
13767,1,399,16942.310000000005,5,5,5,555,Champions
13769,1,143,2771.869999999999,5,5,5,555,Champions
17744,3,137,2290.519999999999,5,5,5,555,Champions
12727,10,141,3947.020000000001,5,5,5,555,Champions
13777,0,219,25748.309999999987,5,5,5,555,Champions
16525,1,200,11895.330000000007,5,5,5,555,Champions
16523,1,298,9295.470000000007,5,5,5,555,Champions
13798,0,438,36353.079999999965,5,5,5,555,Champions
14868,2,147,2939.560000000002,5,5,5,555,Champions
12720,2,359,5712.880000000001,5,5,5,555,Champions
17757,0,741,5573.509999999992,5,5,5,555,Champions
12714,8,259,4707.739999999999,5,5,5,555,Champions
16458,2,202,3482.5800000000013,5,5,5,555,Champions
12709,2,256,9263.639999999996,5,5,5,555,Champions
16440,7,282,3640.5699999999993,5,5,5,555,Champions
12700,7,270,4867.150000000006,5,5,5,555,Champions
16401,0,198,4061.239999999999,5,5,5,555,Champions
13881,3,180,16989.479999999996,5,5,5,555,Champions
13883,0,155,2538.7500000000014,5,5,5,555,Champions
13756,1,143,5144.559999999995,5,5,5,555,Champions
17730,2,220,5287.549999999998,5,5,5,555,Champions
12683,3,362,8220.850000000002,5,5,5,555,Champions
17728,3,169,2515.4700000000007,5,5,5,555,Champions
16705,0,284,13945.969999999985,5,5,5,555,Champions
16701,8,154,5150.0300000000025,5,5,5,555,Champions
16700,8,312,5037.240000000005,5,5,5,555,Champions
13668,2,494,6162.329999999964,5,5,5,555,Champions
16684,3,281,65892.12000000001,5,5,5,555,Champions
16678,2,170,3013.1100000000015,5,5,5,555,Champions
17686,6,286,5739.46000000001,5,5,5,555,Champions
12766,3,310,6989.469999999989,5,5,5,555,Champions
13680,0,215,2198.8099999999904,5,5,5,555,Champions
13694,3,584,62690.28000000003,5,5,5,555,Champions
13704,4,135,2294.8299999999986,5,5,5,555,Champions
13709,3,345,6228.150000000001,5,5,5,555,Champions
17706,3,395,10097.229999999992,5,5,5,555,Champions
16626,0,184,4379.650000000002,5,5,5,555,Champions
12753,3,230,21023.969999999907,5,5,5,555,Champions
16592,3,222,4073.0399999999995,5,5,5,555,Champions
12749,3,231,3868.180000000002,5,5,5,555,Champions
12748,0,4459,28393.370000000225,5,5,5,555,Champions
16570,8,133,3622.87,5,5,5,555,Champions
16558,0,474,8255.919999999978,5,5,5,555,Champions
13755,3,322,2100.400000000002,5,5,5,555,Champions
16393,1,355,2936.120000000002,5,5,5,555,Champions
12682,3,524,12279.019999999995,5,5,5,555,Champions
16033,5,1143,8689.069999999987,5,5,5,555,Champions
15078,6,451,9623.270000000022,5,5,5,555,Champions
14056,0,1110,8058.2999999999765,5,5,5,555,Champions
12627,10,230,4478.489999999999,5,5,5,555,Champions
14060,4,203,6133.4199999999,5,5,5,555,Champions
17858,5,197,5140.659999999997,5,5,5,555,Champions
17861,2,220,2055.6800000000003,5,5,5,555,Champions
16145,8,237,3741.9000000000046,5,5,5,555,Champions
12621,1,474,13611.389999999987,5,5,5,555,Champions
16133,3,365,14305.219999999998,5,5,5,555,Champions
14085,1,449,4407.15,5,5,5,555,Champions
14088,9,590,50415.1699999999,5,5,5,555,Champions
14092,7,217,4062.7800000000034,5,5,5,555,Champions
14096,3,5128,57117.71999999952,5,5,5,555,Champions
15271,6,265,2471.9300000000017,5,5,5,555,Champions
14110,3,157,5669.649999999999,5,5,5,555,Champions
14121,3,161,2739.7400000000007,5,5,5,555,Champions
16076,2,131,2173.449999999999,5,5,5,555,Champions
14125,10,166,2720.3900000000012,5,5,5,555,Champions
12598,9,133,3002.4399999999982,5,5,5,555,Champions
14132,1,201,3579.17,5,5,5,555,Champions
14135,1,134,4690.31,5,5,5,555,Champions
16057,3,134,2140.2199999999993,5,5,5,555,Champions
16156,8,137,2994.5800000000013,5,5,5,555,Champions
14051,0,215,15477.339999999991,5,5,5,555,Champions
16360,4,645,3349.1899999999996,5,5,5,555,Champions
16161,1,499,5311.159999999999,5,5,5,555,Champions
16326,5,301,3014.2200000000034,5,5,5,555,Champions
13949,2,160,2426.359999999999,5,5,5,555,Champions
12668,6,168,3742.9000000000015,5,5,5,555,Champions
15089,9,145,2420.6000000000017,5,5,5,555,Champions
17434,1,138,2333.26,5,5,5,555,Champions
13969,6,626,8956.580000000002,5,5,5,555,Champions
12662,0,232,3816.839999999998,5,5,5,555,Champions
13971,8,158,2701.8599999999997,5,5,5,555,Champions
16265,8,260,5422.830000000002,5,5,5,555,Champions
13985,3,353,7024.530000000005,5,5,5,555,Champions
13994,3,148,2273.9,5,5,5,555,Champions
13999,9,212,3865.180000000003,5,5,5,555,Champions
17811,3,849,7601.109999999961,5,5,5,555,Champions
16242,7,293,3574.750000000001,5,5,5,555,Champions
16241,9,655,2587.2600000000075,5,5,5,555,Champions
16240,7,142,3693.650000000001,5,5,5,555,Champions
16210,1,123,21086.059999999994,5,5,5,555,Champions
16191,2,151,4912.92,5,5,5,555,Champions
14031,6,258,14634.079999999989,5,5,5,555,Champions
14032,1,152,2928.8000000000015,5,5,5,555,Champions
17841,1,7812,39853.959999999905,5,5,5,555,Champions
16712,8,438,3609.949999999987,5,5,5,555,Champions
16717,8,235,3262.6999999999994,5,5,5,555,Champions
17677,1,320,16201.05,5,5,5,555,Champions
17340,8,424,11889.979999999987,5,5,5,555,Champions
17315,0,485,6192.859999999983,5,5,5,555,Champions
13137,10,688,3557.400000000001,5,5,5,555,Champions
12971,3,308,10929.499999999998,5,5,5,555,Champions
17243,0,394,8491.589999999987,5,5,5,555,Champions
17238,2,555,3718.229999999992,5,5,5,555,Champions
13198,9,229,3382.929999999998,5,5,5,555,Champions
12957,3,244,3978.8800000000015,5,5,5,555,Champions
12955,0,183,4733.099999999999,5,5,5,555,Champions
13230,3,588,2711.3300000000013,5,5,5,555,Champions
14936,8,366,8117.259999999999,5,5,5,555,Champions
15144,7,218,6529.880000000007,5,5,5,555,Champions
17511,2,1076,88124.45999999974,5,5,5,555,Champions
13263,0,1667,7436.079999999944,5,5,5,555,Champions
13266,10,202,3717.1499999999996,5,5,5,555,Champions
13267,2,224,4404.040000000001,5,5,5,555,Champions
13269,0,319,5312.449999999999,5,5,5,555,Champions
17131,4,134,2462.890000000001,5,5,5,555,Champions
12935,1,130,2156.3699999999994,5,5,5,555,Champions
15152,9,278,4683.68,5,5,5,555,Champions
17528,0,260,3538.7800000000016,5,5,5,555,Champions
17530,0,390,2367.0399999999913,5,5,5,555,Champions
13126,4,142,2055.77,5,5,5,555,Champions
17346,3,486,2557.3500000000004,5,5,5,555,Champions
17675,0,721,20097.93999999997,5,5,5,555,Champions
13115,8,132,2205.63,5,5,5,555,Champions
17426,3,272,5021.18,5,5,5,555,Champions
17419,10,208,4200.7300000000005,5,5,5,555,Champions
13050,8,422,5683.569999999993,5,5,5,555,Champions
13021,3,134,2584.2199999999993,5,5,5,555,Champions
17404,3,201,30300.7,5,5,5,555,Champions
17449,1,278,2502.7699999999895,5,5,5,555,Champions
17389,0,224,31300.02000000001,5,5,5,555,Champions
13014,2,124,3365.4300000000003,5,5,5,555,Champions
13013,0,222,4786.86999999998,5,5,5,555,Champions
13069,0,469,3712.190000000008,5,5,5,555,Champions
17450,7,350,187321.08999999778,5,5,5,555,Champions
13078,0,380,12431.199999999995,5,5,5,555,Champions
13081,0,1061,27960.720000000056,5,5,5,555,Champions
13089,2,1853,57314.649999999994,5,5,5,555,Champions
13090,8,161,8689.03,5,5,5,555,Champions
14961,10,317,7006.48,5,5,5,555,Champions
13001,3,340,9764.750000000015,5,5,5,555,Champions
13098,0,605,28657.079999999998,5,5,5,555,Champions
17364,0,409,4436.909999999995,5,5,5,555,Champions
13102,0,310,6335.150000000001,5,5,5,555,Champions
13113,0,280,10510.000000000016,5,5,5,555,Champions
13319,4,500,10663.93999999999,5,5,5,555,Champions
12921,3,741,16389.500000000015,5,5,5,555,Champions
17091,2,198,3802.810000000002,5,5,5,555,Champions
15159,1,720,18572.520000000004,5,5,5,555,Champions
16904,3,665,3650.550000000001,5,5,5,555,Champions
13507,2,162,2478.7999999999993,5,5,5,555,Champions
16873,4,289,7065.829999999997,5,5,5,555,Champions
12841,4,433,3845.1099999999797,5,5,5,555,Champions
12839,2,316,5583.380000000004,5,5,5,555,Champions
13534,1,342,5614.280000000017,5,5,5,555,Champions
13536,0,178,3444.3499999999985,5,5,5,555,Champions
14895,7,506,11019.700000000006,5,5,5,555,Champions
16839,8,298,15357.739999999987,5,5,5,555,Champions
16818,10,191,3317.7699999999904,5,5,5,555,Champions
17644,0,169,2768.8199999999997,5,5,5,555,Champions
13576,9,130,6702.260000000002,5,5,5,555,Champions
16782,9,190,2230.2999999999997,5,5,5,555,Champions
16779,1,342,10435.609999999991,5,5,5,555,Champions
17659,3,161,2954.670000000002,5,5,5,555,Champions
13599,0,263,5026.129999999999,5,5,5,555,Champions
15189,0,232,15802.140000000009,5,5,5,555,Champions
15194,2,326,7520.57,5,5,5,555,Champions
16764,3,712,2747.960000000004,5,5,5,555,Champions
16746,4,447,6676.08000000001,5,5,5,555,Champions
13644,8,148,2597.5200000000004,5,5,5,555,Champions
17611,3,573,3923.7700000000004,5,5,5,555,Champions
16905,4,200,3020.4399999999996,5,5,5,555,Champions
17602,1,556,5000.459999999981,5,5,5,555,Champions
17567,6,177,4012.4400000000087,5,5,5,555,Champions
17071,8,148,2385.4400000000014,5,5,5,555,Champions
17049,2,321,5589.390000000006,5,5,5,555,Champions
13362,2,169,3085.4099999999994,5,5,5,555,Champions
13365,8,132,2191.100000000002,5,5,5,555,Champions
12901,8,125,16292.699999999995,5,5,5,555,Champions
17017,2,268,8573.630000000006,5,5,5,555,Champions
13394,1,164,2312.7199999999993,5,5,5,555,Champions
17001,0,169,3989.4100000000017,5,5,5,555,Champions
13408,1,501,27486.929999999982,5,5,5,555,Champions
14911,0,5898,132450.46999999986,5,5,5,555,Champions
12856,7,314,2153.4500000000003,5,5,5,555,Champions
13426,0,159,3548.0999999999995,5,5,5,555,Champions
13458,6,394,9536.920000000002,5,5,5,555,Champions
17576,7,408,3399.6099999999983,5,5,5,555,Champions
17581,0,451,10716.029999999992,5,5,5,555,Champions
13468,1,306,5656.70999999998,5,5,5,555,Champions
13471,0,254,2501.6899999999896,5,5,5,555,Champions
17593,3,214,3907.949999999998,5,5,5,555,Champions
16931,4,886,4554.319999999992,5,5,5,555,Champions
14907,2,168,3478.8499999999985,5,5,5,555,Champions
14146,8,245,2949.5699999999997,5,5,5,555,Champions
17428,0,343,17078.090000000004,5,5,5,555,Champions
17920,3,665,4116.609999999993,5,5,5,555,Champions
12518,0,124,2055.9699999999993,5,5,5,555,Champions
15601,10,414,6741.5199999999995,5,5,5,555,Champions
12437,1,201,4896.059999999999,5,5,5,555,Champions
14299,7,162,2854.43,5,5,5,555,Champions
14503,2,164,3542.780000000001,5,5,5,555,Champions
15373,7,137,2213.1100000000006,5,5,5,555,Champions
18044,3,128,2084.729999999979,5,5,5,555,Champions
14493,6,123,2362.580000000001,5,5,5,555,Champions
14572,2,265,2775.2700000000013,5,5,5,555,Champions
15615,9,429,10359.599999999986,5,5,5,555,Champions
14309,7,123,2319.5200000000004,5,5,5,555,Champions
14755,9,237,4965.339999999999,5,5,5,555,Champions
18055,6,361,6728.48999999995,5,5,5,555,Champions
15856,3,636,15925.46999999999,5,5,5,555,Champions
15854,3,138,2968.839999999998,5,5,5,555,Champions
15572,4,212,2533.1899999999996,5,5,5,555,Champions
12433,0,420,13373.049999999992,5,5,5,555,Champions
14525,8,289,4104.469999999999,5,5,5,555,Champions
14298,2,1640,50857.59999999982,5,5,5,555,Champions
14527,2,1010,7709.469999999952,5,5,5,555,Champions
15570,6,326,4093.1099999999997,5,5,5,555,Champions
12524,8,144,4485.640000000001,5,5,5,555,Champions
14534,2,547,4025.160000000002,5,5,5,555,Champions
14291,1,238,3872.0999999999995,5,5,5,555,Champions
14546,3,415,2482.430000000002,5,5,5,555,Champions
14547,3,356,3953.609999999969,5,5,5,555,Champions
12471,1,530,18705.319999999956,5,5,5,555,Champions
14282,2,154,3701.2000000000044,5,5,5,555,Champions
14554,9,203,2279.079999999999,5,5,5,555,Champions
15547,6,695,4908.969999999971,5,5,5,555,Champions
12417,2,198,3578.6000000000117,5,5,5,555,Champions
15544,8,261,3541.469999999996,5,5,5,555,Champions
18065,5,138,2379.800000000001,5,5,5,555,Champions
15622,2,214,3224.6100000000015,5,5,5,555,Champions
15838,10,169,33350.759999999995,5,5,5,555,Champions
14456,4,954,2999.7500000000005,5,5,5,555,Champions
14422,0,222,4263.639999999995,5,5,5,555,Champions
15358,4,560,8232.609999999995,5,5,5,555,Champions
14432,9,377,2248.199999999998,5,5,5,555,Champions
14415,0,601,5765.940000000002,5,5,5,555,Champions
12476,0,264,6546.060000000008,5,5,5,555,Champions
14156,9,1415,113214.14999999975,5,5,5,555,Champions
14766,7,137,2422.550000000001,5,5,5,555,Champions
14401,3,183,4039.5399999999886,5,5,5,555,Champions
15687,8,168,2981.5000000000005,5,5,5,555,Champions
14395,1,351,3443.689999999999,5,5,5,555,Champions
15023,2,554,6680.049999999943,5,5,5,555,Champions
15750,2,293,2447.7999999999997,5,5,5,555,Champions
18109,1,451,7877.069999999998,5,5,5,555,Champions
12490,4,245,5417.69,5,5,5,555,Champions
18102,0,433,256437.8299999975,5,5,5,555,Champions
14329,8,268,4888.9000000000015,5,5,5,555,Champions
14390,9,289,4581.700000000002,5,5,5,555,Champions
12451,10,355,8932.679999999995,5,5,5,555,Champions
15676,8,216,3323.6499999999996,5,5,5,555,Champions
14388,8,191,3171.9600000000037,5,5,5,555,Champions
14769,2,1066,10380.359999999991,5,5,5,555,Champions
15755,0,149,2318.6000000000013,5,5,5,555,Champions
15640,3,486,12335.979999999976,5,5,5,555,Champions
15769,6,147,51823.64,5,5,5,555,Champions
14367,7,530,9134.040000000008,5,5,5,555,Champions
15796,0,134,2663.6600000000003,5,5,5,555,Champions
15311,0,2478,59280.750000000044,5,5,5,555,Champions
15804,0,274,3847.909999999998,5,5,5,555,Champions
18077,7,223,2583.7299999999786,5,5,5,555,Champions
15628,4,157,2865.5600000000004,5,5,5,555,Champions
14562,3,441,4676.169999999997,5,5,5,555,Champions
15867,4,461,3794.649999999999,5,5,5,555,Champions
15984,2,263,2759.6300000000015,5,5,5,555,Champions
12553,7,196,3652.1700000000005,5,5,5,555,Champions
15290,4,212,7803.5700000000015,5,5,5,555,Champions
14796,0,1156,7790.839999999981,5,5,5,555,Champions
16011,7,210,3352.8400000000024,5,5,5,555,Champions
15298,1,194,3773.7000000000025,5,5,5,555,Champions
18272,2,170,3064.7,5,5,5,555,Champions
14659,8,259,2456.4900000000007,5,5,5,555,Champions
12562,7,168,3781.5800000000017,5,5,5,555,Champions
14667,10,570,9164.439999999988,5,5,5,555,Champions
14702,0,343,3210.209999999999,5,5,5,555,Champions
14701,10,342,2462.4599999999987,5,5,5,555,Champions
18245,6,177,2506.4799999999987,5,5,5,555,Champions
14180,10,248,4640.7699999999995,5,5,5,555,Champions
15993,8,551,2736.520000000002,5,5,5,555,Champions
15443,1,375,3188.48,5,5,5,555,Champions
12569,1,191,4064.909999999999,5,5,5,555,Champions
14194,4,604,11216.269999999995,5,5,5,555,Champions
14191,1,263,4660.010000000004,5,5,5,555,Champions
17954,4,481,2275.870000000002,5,5,5,555,Champions
15033,4,504,2540.5200000000013,5,5,5,555,Champions
14688,7,356,5054.300000000011,5,5,5,555,Champions
14732,7,149,2686.1399999999994,5,5,5,555,Champions
12362,2,274,5154.260000000005,5,5,5,555,Champions
14189,1,277,4603.389999999999,5,5,5,555,Champions
14696,3,133,2070.81,5,5,5,555,Champions
15061,3,410,54228.420000000006,5,5,5,555,Champions
14646,1,2085,279486.0199999998,5,5,5,555,Champions
12359,7,251,6182.860000000005,5,5,5,555,Champions
14733,8,216,9451.459999999988,5,5,5,555,Champions
14626,8,126,2757.0699999999993,5,5,5,555,Champions
18198,3,166,5083.020000000004,5,5,5,555,Champions
12536,7,273,4105.78,5,5,5,555,Champions
18283,3,721,2041.3800000000028,5,5,5,555,Champions
16019,1,165,3450.0799999999995,5,5,5,555,Champions
18210,1,134,2621.3000000000006,5,5,5,555,Champions
14262,7,143,2618.230000000001,5,5,5,555,Champions
14606,0,2759,11630.840000000055,5,5,5,555,Champions
15046,8,202,4940.33999999999,5,5,5,555,Champions
15498,0,523,12395.659999999762,5,5,5,555,Champions
18223,1,299,6315.350000000004,5,5,5,555,Champions
16013,3,151,33366.28,5,5,5,555,Champions
18225,2,284,5356.420000000002,5,5,5,555,Champions
14735,3,205,5807.629999999999,5,5,5,555,Champions
14243,8,148,2535.8799999999987,5,5,5,555,Champions
15484,0,188,3557.970000000001,5,5,5,555,Champions
14711,9,347,2808.8299999999986,5,5,5,555,Champions
